    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (2),オキシダント          ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 6日,   30,   31,   20,   10,    9,    9,   11,   11,   10,   11,    9,    7,    6,    6,    7,    8,   10,   21,   27,   12,   10,    9,    9,    8,   13,   31,    6,   24,  301
 7日,    8,    7,    6,    6,    7,    9,   11,   14,   13,   16,   16,   13,   12,   12,   10,    9,   14,   13,   12,   11,   10,   11,   11,    9,   11,   16,    6,   24,  260
 8日,*****,    8,    6,    7,    8,    8,   12,   18,   14,    8,    7,    9,    8,*****,*****,   11,   14,   15,   15,   13,   12,   11,   12,   10,   11,   18,    6,   21,  226
 9日,    8,    8,    8,    7,    8,   10,   15,   17,   17,   13,    9,   10,    9,   10,   12,   10,   12,   14,   15,   16,   14,   16,   15,   13,   12,   17,    7,   24,  286
10日,   14,   15,   14,   12,   21,   19,   18,   30,   16,   13,   10,    6,    5,    5,    6,    8,   11,   14,   26,   22,   18,   14,   15,   14,   14,   30,    5,   24,  346
11日,   12,   10,   10,   11,   18,   27,   26,   24,   19,   13,   10,   11,   16,   12,    5,    4,    6,    9,   10,   10,   14,   23,   13,    7,   13,   27,    4,   24,  320
12日,    6,    6,    6,    6,    6,    6,    9,   10,    8,    4,    4,    5,    4,    5,    4,    5,    6,    8,    9,   12,   16,   14,   12,   16,    8,   16,    4,   24,  187
13日,   12,    7,    7,    9,    7,    8,   24,   21,   19,   18,   17,   10,    9,    9,   10,   22,   44,   36,   20,   20,   20,   18,   17,   16,   17,   44,    7,   24,  400
14日,*****,   15,   26,   36,   42,   31,   28,   38,   33,   30,   32,   35,   51,   58,   61,   66,   68,   68,   73,   76,   72,   65,   61,   55,   49,   76,   15,   23, 1120
15日,   55,   56,   54,   50,   48,   48,   47,   45,   47,   47,   46,   43,*****,   41,   40,   35,   34,   25,   17,   14,   12,   15,   17,   16,   37,   56,   12,   23,  852
16日,   14,   15,   14,   10,    8,    9,   15,   27,   35,   23,   21,   16,   14,   37,   51,   50,   46,   33,   25,   36,   42,   39,   38,   45,   28,   51,    8,   24,  663
17日,   49,   44,   33,   26,   29,   29,   33,   33,   31,   24,   16,   10,    9,    9,    9,    8,   10,   10,   10,    7,    5,    5,    5,    6,   19,   49,    5,   24,  450
18日,    8,    7,    5,    5,    4,    5,    7,   10,    9,    6,    5,    4,    7,    7,    7,    7,    9,   10,   14,   22,   26,   29,   20,   19,   11,   29,    4,   24,  252
19日,   18,   13,   15,   16,   31,   29,   33,   35,   32,   31,   33,   30,   23,   24,   27,   25,   30,   38,   31,   17,   14,   13,   16,   14,   25,   38,   13,   24,  588
20日,*****,   13,   12,   11,   13,   14,   22,   26,   24,   19,   16,   14,   12,   12,   13,   12,   12,   14,   15,   13,   11,   15,   15,   17,   15,   26,   11,   23,  345
21日,   23,   25,   17,   26,   27,   18,   29,   38,   37,   37,   38,   34,   29,   36,   40,   37,   36,   33,   30,   28,   26,   22,   24,   27,   30,   40,   17,   24,  717
22日,   33,   22,   21,   19,   19,   23,   27,   32,   37,   35,   35,   34,   35,   36,*****,*****,   37,   38,   36,   29,   24,   18,   20,   18,   29,   38,   18,   22,  628
23日,   21,   21,   19,   23,   20,   27,   37,   42,   48,   45,   18,   10,   11,   11,   11,   10,   11,   11,    9,    9,    8,    8,    8,    6,   19,   48,    6,   24,  444
24日,    5,    5,    5,    7,    7,    8,   10,   14,   17,   19,   19,   28,   28,   29,   31,   35,   37,   45,   49,   52,   54,   54,   53,   50,   28,   54,    5,   24,  661
25日,   48,   47,   40,   35,   29,   31,   29,   25,   20,   19,   19,   15,   14,   12,   11,   12,   16,   24,   22,   23,   19,   21,   24,   29,   24,   48,   11,   24,  584
26日,*****,   31,   17,   14,   14,   20,   27,   31,   32,   31,   28,   22,   46,   47,   27,   44,   56,   61,   63,   63,   62,   63,   59,   54,   40,   63,   14,   23,  912
27日,   38,   33,   28,   24,   26,   16,   19,   28,   28,   27,   23,   21,   20,   20,   25,   16,   15,   15,   14,   14,   12,   10,    9,    9,   20,   38,    9,   24,  490
28日,    9,   10,    8,    6,    6,    7,    9,   13,   12,   11,    9,    7,    8,    9,    9,    8,    9,   10,   10,   11,   10,   10,   11,   10,    9,   13,    6,   24,  222
29日,   10,    9,    7,    7,    8,    9,   15,   23,   21,   20,   17,   19,   26,*****,   27,   25,   31,   32,   27,   18,   20,   23,   33,   34,   20,   34,    7,   23,  461
30日,   28,   26,   27,   28,   32,   31,   32,   31,   30,   30,   30,   30,   29,   28,   31,   30,   29,   28,   28,   22,   24,   26,   29,   37,   29,   37,   22,   24,  696
31日,   33,   34,   31,   29,   29,   29,   30,   25,   18,   13,   10,    7,    5,    5,    5,    5,    8,    9,   10,    9,   11,   13,   14,   13,   16,   34,    5,   24,  395
平均,   22,   20,   18,   17,   18,   19,   22,   25,   23,   21,   18,   16,   16,   18,   19,   19,   23,   25,   26,   25,   24,   24,   24,   23,   21,     ,     ,     ,     
最高,   55,   56,   54,   50,   48,   48,   47,   45,   48,   47,   46,   43,   51,   58,   61,   66,   68,   68,   73,   76,   72,   65,   61,   55,     ,   76,     ,     ,     
最低,    5,    5,    5,    5,    4,    5,    6,    6,    6,    4,    4,    4,    4,    3,    4,    4,    6,    6,    6,    7,    5,    5,    5,    6,     ,     ,    3,     ,     
日数,   26,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   30,   29,   29,   30,   31,   31,   31,   31,   31,   31,   31,   31,     ,     ,     ,  733,     
合計,  582,  614,  544,  531,  569,  586,  676,  768,  723,  645,  570,  511,  483,  526,  540,  572,  700,  765,  799,  779,  756,  737,  734,  720,     ,     ,     ,     ,15430
    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (5),窒素酸化物           ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,   10,    5,    6,    5,    5,    5,    6,    7,    7,    6,    6,    6,    5,    5,    4,    7,    6,    6,    6,    7,   11,   11,   10,   11,    7,   11,    4,   24,  163
 2日,*****,   10,    8,    8,   14,   23,   19,   24,   30,   31,   27,   22,   12,   21,   31,   22,   10,   17,   25,   33,   46,   30,   42,   27,   23,   46,    8,   23,  532
 3日,   13,   11,    9,    8,    9,   14,   20,   21,   15,    8,    5,    5,    5,    4,    6,    9,   11,   20,   38,   40,   20,   19,   23,   33,   15,   40,    4,   24,  366
 4日,   36,   31,   28,   36,   29,   33,   25,   35,   49,   49,   45,   37,   30,   18,   20,   20,   32,   58,   92,  124,  151,  141,  122,  113,   56,  151,   18,   24, 1354
 5日,   83,   74,   78,   79,   71,   54,   53,   57,   36,   25,   21,   14,   11,   11,   14,   18,   35,   44,   94,  108,   83,   83,   58,   55,   52,  108,   11,   24, 1259
 6日,   32,   32,   21,   10,    9,    9,   11,   12,   11,   12,   10,    8,    7,    6,    8,    8,   10,   22,   28,   12,   11,    9,    9,    8,   13,   32,    6,   24,  315
 7日,    8,    7,    6,    6,    7,    9,   11,   15,   15,   19,   20,   17,   15,   14,   13,   11,   15,   14,   13,   11,   11,   11,   12,    9,   12,   20,    6,   24,  289
 8日,*****,    8,    6,    7,    8,    8,   13,   21,   18,   11,   10,   12,   11,*****,*****,   13,   15,   16,   16,   14,   13,   11,   13,   10,   12,   21,    6,   21,  254
 9日,    8,    8,    8,    7,    8,   10,   16,   20,   22,   17,   13,   14,   12,   13,   15,   11,   13,   15,   15,   17,   15,   17,   16,   14,   14,   22,    7,   24,  324
10日,   15,   16,   14,   12,   22,   20,   19,   38,   21,   18,   13,    8,    6,    7,    7,    9,   12,   15,   27,   23,   19,   15,   15,   15,   16,   38,    6,   24,  386
11日,   12,   10,   10,   11,   19,   29,   27,   28,   25,   18,   13,   15,   23,   16,    6,    5,    6,    9,   10,   11,   15,   24,   14,    7,   15,   29,    5,   24,  363
12日,    6,    6,    6,    6,    6,    6,    9,   11,   10,    5,    6,    7,    5,    6,    5,    6,    7,    8,   10,   13,   17,   15,   13,   17,    9,   17,    5,   24,  206
13日,   13,    7,    7,    9,    7,    8,   26,   25,   25,   25,   24,   14,   12,   12,   13,   26,   48,   41,   21,   21,   21,   19,   18,   17,   19,   48,    7,   24,  459
14日,*****,   16,   27,   41,   72,   34,   29,   61,   54,   51,   55,   60,  108,  124,  121,  118,  114,  122,  217,  284,  213,  143,  112,   85,   98,  284,   16,   23, 2261
15日,   92,  114,  109,   77,   71,   65,   69,   73,   89,  105,  108,   93,*****,   69,   55,   41,   39,   27,   18,   15,   13,   16,   18,   17,   61,  114,   13,   23, 1393
16日,   14,   15,   14,   10,    8,    9,   16,   32,   53,   33,   29,   21,   19,   56,   82,   69,   49,   36,   26,   37,   45,   40,   40,   50,   33,   82,    8,   24,  803
17日,   64,   51,   35,   27,   31,   33,   49,   58,   55,   36,   21,   13,   11,   11,   11,    9,   11,   11,   11,    7,    5,    5,    5,    6,   24,   64,    5,   24,  576
18日,    8,    7,    5,    5,    4,    5,    7,   11,   11,    8,    6,    5,    9,    9,    9,    8,   10,   10,   15,   23,   27,   30,   21,   20,   11,   30,    4,   24,  273
19日,   19,   13,   15,   16,   32,   30,   38,   53,   54,   54,   60,   51,   33,   33,   34,   29,   32,   40,   37,   18,   15,   13,   17,   14,   31,   60,   13,   24,  750
20日,*****,   13,   12,   11,   13,   14,   23,   30,   32,   26,   22,   19,   16,   15,   16,   14,   13,   15,   15,   14,   11,   16,   16,   18,   17,   32,   11,   23,  394
21日,   24,   26,   17,   27,   28,   18,   32,   46,   46,   54,   58,   48,   36,   47,   56,   46,   41,   35,   32,   29,   27,   23,   25,   28,   35,   58,   17,   24,  849
